XRUyRdWZJT7uhIRpcmT_pQ,,1 Tips,81654
,FZ6h6Z_gTTLmanCl_u0OOQ,Thomas D.,81653
,HN20r_obbGSOMjhTYfBbQA,Adel G.,81652
,-wmGiVj_Hv-femabSYI3pg,Lia K.,81651
,vVPTSLucBxCXQ5jsBTVbCA,Paskesz K.,81650
,YttDgOC9AlM4HcAlDsbB2A,Phil H.,81649
UVlm7XdAvJCi-ywfEvbwEg,,87 Tips,81648
,TmyJwtXavba3XiK6xTLeFg,Nancy A.,81647
,Nlc-SSdVp8E9XIxhhhFpmw,Ryan M.,81646
,V49Wg3p6lJS0nPkl8s5rRA,Jessica S.,81645
,O4aEtckTiDO27RdasBjXbQ,Beth C.,81644
,x0Zpr2dAtYeekEyTO9oEuQ,Samantha B.,81643
,R7nxgXbXkhJB7jhxwfXKRw,Francesca C.,81642
,Dpcov1I4Wm3Mjdqr7Ihk-Q,Dario S.,81641
,XRUyRdWZJT7uhIRpcmT_pQ,Robert G.,81640
,9-OrT2idU8Iv44sGWbQKRg,Karly O.,81639
,-2T2LyunP5WeJAl2u3aj1Q,Pamela K.,81638
,VxouOg6t88ZXJM_1oBoQsg,Mindy K.,81637
,HHQRB5T-1SwIWbyIVaL43Q,Jes. C.,81636
,kOCr43utFM-PeHwrG4UhAw,Diana L.,81635
,yaNUJo62LN2i3gBlb2c2zQ,Mike W.,81634
,7bwh6A4cl8DqZV44kAjWjA,Danielle G.,81633
,eWoDT73RQBoWlXF3_CcjUg,Kristen E.,81632
,NQvpZ-t89C8BWwVF6g3x5A,Althea C.,81631
,Q6-oT1z6o-pUR3TO0gfTFg,Amber F.,81630
,ldeTSmGQoQDJnt_yCDZ6Ng,Nick P.,81629
,ZQbxbwegQ_ISit_j22oKdQ,Katie V.,81628
,Q7C57SSbjCI7vR1zCLBwrA,Aimee D.,81627
,GBgNKr0JpOevAhODJW9avA,Joan L.,81626
,WM8oBq3rF-eQ3wDLijkkXg,Shawn W.,81625
,XcoiMds1L2aJJxGhLThE5Q,Nicole B.,81624
,PipGc4TdxurGizJ6CKmU7Q,Daniel B.,81623
,kin2sO4sZvIpW_hqQ3wDtg,Tianjiao G.,81622
,7SgH7aavrDBjL2DbVyDGoQ,Lisa C.,81621
,V43THFH2UehEbn4dlda_jw,Frank Z.,81620
,2zs2mt6c5plfyf6PdDrnnw,Kim S.,81619
,OP913KWJhWzzj10OeeeBuA,Michelle B.,81618
,TNGWhuRAEp0zleMa-NixmA,Josh K.,81617
,o_8sVoYIFnoVun5YY_lAEg,Daniel A.,81616
,1hCqFYc0oNpw7aZZBuEh6A,Otis M.,81615
,1gq25jfibnLBtvze3NyDhA,Stephanie S.,81614
,jbme6UoDggF7NtkItZZyhA,Amanda M.,81613
,dbqwzNAIseUSYnmusg-D5A,Josh A.,81612
,1w_QkIakyV7zvNCCuuyqUQ,Lai-Yee B.,81611
,XXsKHHyzJWW5KWw63lug-w,Kristy E.,81610
,NtgXljFEPMAQx7pbgos93Q,Kate H.,81609
,lpQq1BA8QJpEp4f6fAt5Tw,Melissa W.,81608
,DVlwMOMHi5gCpSLVPByJBw,Ticia G.,81607
,vOMSNQLv0uJ9JlGE-IPi-g,Colleen M.,81606
,1IPak6pw80RX853Fsj4FAg,Danika A.,81605
,8rNzNxp054ydMQ19v6iAYA,Andrea B.,81604
,qGSrT9FfUZAgY-Jm2Co9sQ,Roger K.,81603
,T6uwJMxvgdcNufyfT1xm-g,Kristin D.,81602
,CQRnLDowSu2FFmIcrwKBxA,Ferna L.,81601
,A_1Ayg3mW_BZNn6lskdNcQ,Adam W.,81600
,bdHFGkB9MhB7xeuTouKKGQ,Allie S.,81599
g3n_4X2B9hF4Sqe0Hbx2HA,,28 Tips,81598
,mV4lknblF-zOKSF8nlGqDA,Scott S.,81597
,Mr1SihkmAfHNS-o6RRMOaw,Michele G.,81596
,hxDeqPbPwkKEFXOfK7av9A,Kalei F.,81595
,gEUNZBI82fSsregGy9LzdA,Chris V.,81594
,K1lyP0eGLAy6800sXZKsVQ,Amanda H.,81593
,jGaZ2A1yL-x0izeNxF4Y8g,Nancy A.,81592
,9byL8SRoWOVyXeoxB1ou7w,Megan C.,81591
,sU50ZBMe4_s64QqoIHlhaw,Eva G.,81590
,nE3KdKDCFMYMiRHkr_l-hg,Paul L.,81589
,ZNe1Qks_Gv4rA-7e2AT79A,Winnie M.,81588
,iDYw0nEWSE0GAXd3K9YBzA,Pam S.,81587
,ottOuy7FZtUV2HnBfhVk0w,Brotha S.,81586
,nDyEOdSPkDboIcyBEYgHkA,Crystal S.,81585
,REGjppkq2IkDLRQVmRj_Bg,Kevin J.,81584
,Thc2zV-K-KLcvJn3fMPdqQ,Carol S.,81583
,W-5w4mi8n46dxNaC-3-pLQ,Hans H.,81582
,zAefBXGlIab5hRAwRtgsvw,Danny E.,81581
,73fZ6W35yH8kUM1faHQjUA,GarGuPi L.,81580
,yt60ZxYGkiBij5Ot5bTlkg,Cortney W.,81579
